node1,node2,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,lat6,lon6
76,77,35.95117063334192,139.65052127838138,35.95158752097541,139.65078949928287,,,,,,,,
77,78,35.95158752097541,139.65078949928287,35.95125748511363,139.6517658233643,,,,,,,,
77,137,35.95158752097541,139.65078949928287,35.95200006386373,139.65102016925815,,,,,,,,
78,81,35.95125748511363,139.6517658233643,35.95096218870021,139.6516960859299,,,,,,,,
78,79,35.95125748511363,139.6517658233643,35.95128788321119,139.6526670455933,,,,,,,,
78,138,35.95125748511363,139.6517658233643,35.95173516815139,139.6517336368561,,,,,,,,
79,150,35.95128788321119,139.6526670455933,35.9515209349093,139.65266168117526,35.9517568809481,139.65257048606875,,,,,,
79,80,35.95128788321119,139.6526670455933,35.951079438878836,139.6527045965195,,,,,,,,
80,81,35.951079438878836,139.6527045965195,35.95096218870021,139.6516960859299,,,,,,,,
81,82,35.95096218870021,139.6516960859299,35.95083046298885,139.6516424417496,35.95081019746893,139.6515727043152,,,,,,
82,243,35.95081019746893,139.6515727043152,35.95034843184478,139.65195357799533,,,,,,,,
82,84,35.95081019746893,139.6515727043152,35.95080874993751,139.65145468711856,35.9504019910005,139.65144932270053,,,,,,
83,85,35.950705974741325,139.65057492256167,35.950371592562085,139.65030133724215,,,,,,,,
83,84,35.950705974741325,139.65057492256167,35.9504019910005,139.65144932270053,,,,,,,,
83,86,35.950705974741325,139.65057492256167,35.95093613308132,139.64992582798007,,,,,,,,
85,91,35.950371592562085,139.65030133724215,35.94993298522026,139.65158343315127,,,,,,,,
85,94,35.950371592562085,139.65030133724215,35.950058922230994,139.65005457401278,,,,,,,,
85,223,35.950371592562085,139.65030133724215,35.9508145400796,139.64904606342319,,,,,,,,
86,222,35.95093613308132,139.64992582798007,35.95113155001349,139.64929819107059,,,,,,,,
87,219,35.951148920384064,139.6492445468903,35.95150935471168,139.6494966745377,,,,,,,,
87,222,35.951148920384064,139.6492445468903,35.95113155001349,139.64929819107059,,,,,,,,
